area_type,location,bedrm,total_sqft,bath,balcony,price
Plot  Area,Chikka Tirupathi,4,2600,5,3,120
Built-up  Area,Uttarahalli,3,1440,2,3,62
Super built-up  Area,Lingadheeranahalli,3,1521,3,1,95
Super built-up  Area,Kothanur,2,1200,2,1,51
Super built-up  Area,Whitefield,2,1170,2,1,38
Super built-up  Area,Old Airport Road,4,2732,4,,204
Super built-up  Area,Rajaji Nagar,4,3300,4,,600
Super built-up  Area,Marathahalli,3,1310,3,1,63.25
Plot  Area,Gandhi Bazar,6,1020,6,,370
Super built-up  Area,Whitefield,3,1800,2,2,70
Plot  Area,Whitefield,4,2785,5,3,295
Super built-up  Area,7th Phase JP Nagar,2,1000,2,1,38
Built-up  Area,Gottigere,2,1100,2,2,40
Plot  Area,Sarjapur,3,2250,3,2,148
Super built-up  Area,Mysore Road,2,1175,2,2,73.5
Super built-up  Area,Bisuvanahalli,3,1180,3,2,48
Super built-up  Area,Raja Rajeshwari Nagar,3,1540,3,3,60
Super built-up  Area,Ramakrishnappa Layout,3,2770,4,2,290
Super built-up  Area,Manayata Tech Park,2,1100,2,2,48
Built-up  Area,Kengeri,1,600,1,1,15
Super built-up  Area,Binny Pete,3,1755,3,1,122
Plot  Area,Thanisandra,4,2800,5,2,380
Super built-up  Area,Bellandur,3,1767,3,1,103
Super built-up  Area, Thanisandra,1,510,1,0,25.25
Super built-up  Area,Mangammanapalya,3,1250,3,2,56
Super built-up  Area,Electronic City,2,660,1,1,23.1
Built-up  Area,Whitefield,3,1610,3,2,81
Super built-up  Area,Ramagondanahalli,2,1151,2,2,48.77
Super built-up  Area,Electronic City,3,1025,2,1,47
Super built-up  Area,Yelahanka,4,2100,4,0,186
Super built-up  Area,Bisuvanahalli,3,1075,2,1,35
Super built-up  Area,Hebbal,3,1760,2,2,123
Super built-up  Area,Raja Rajeshwari Nagar,3,1693,3,3,57.39
Built-up  Area,Kasturi Nagar,3,1925,3,,125
Super built-up  Area,Kanakpura Road,2,700,2,1,36
Super built-up  Area,Electronics City Phase 1,2,1070,2,1,45.5
Super built-up  Area,Kundalahalli,3,1724,3,2,125
Super built-up  Area,Chikkalasandra,3,1290,2,2,56.12
Built-up  Area,Uttarahalli,2,1143,2,2,45
Built-up  Area,Murugeshpalya,2,1296,2,,81
Super built-up  Area,Sarjapur  Road,3,1254,3,2,38
Super built-up  Area,Ganga Nagar,1,600,1,0,38
Plot  Area,Yelahanka,1,660,1,0,48
Super built-up  Area,Kanakpura Road,2,1330.74,2,2,91.79
Plot  Area,HSR Layout,8,600,9,,200
Super built-up  Area,Doddathoguru,2,970,2,0,33
Super built-up  Area,Whitefield,2,1459,2,1,94.82
Plot  Area,KR Puram,2,800,1,1,130
Built-up  Area,Himagiri Meadows,2,869,2,1,36
Super built-up  Area,Adarsh Nagar,2,1270,2,1,50
Super built-up  Area,Bhoganhalli,3,1670,3,1,99
Built-up  Area,Whitefield,3,2010,3,2,91
Super built-up  Area,Lakshminarayana Pura,2,1185,2,2,75
Super built-up  Area,Yelahanka,3,1600,2,3,75
Super built-up  Area,Begur Road,2,1200,2,2,44
Built-up  Area,Devanahalli,4,3010,,,192
Super built-up  Area,Ramakrishnappa Layout,2,1500,2,2,185
Plot  Area,Murugeshpalya,6,1407,4,1,150
Super built-up  Area,Govindaraja Nagar Ward,2,840,2,2,45
Plot  Area,Tharabanahalli,3,4395,3,2,240
Super built-up  Area,Ganga Nagar,2,845,2,1,55
Plot  Area,Whitefield,4,5700,5,3,650
Built-up  Area,Varthur,2,1160,2,2,44
Built-up  Area,Bommanahalli,8,3000,8,0,140
Super built-up  Area,Doddathoguru,2,1100,2,1,62
Super built-up  Area,Gunjur,2,1140,2,3,43
Super built-up  Area,Marathahalli,2,1220,2,1,57
Plot  Area,Devarachikkanahalli,8,1350,7,0,85
Super built-up  Area,Kanakpura Road,2,1005,2,1,36.68
Plot  Area,Double Road,3,500,3,2,100
Super built-up  Area,Begur Road,2,1358,2,1,80.58
Super built-up  Area,Hegde Nagar,3,1569,3,1,101
Super built-up  Area,Haralur Road,2,1240,2,1,70
Super built-up  Area,Hennur Road,3,2089,3,2,140
Super built-up  Area,Kothannur,2,1206,2,1,48.23
Super built-up  Area,Kalena Agrahara,2,1150,2,3,40
Built-up  Area,Cholanayakanahalli,3,2511,3,3,205
Built-up  Area,Kaval Byrasandra,2,460,1,0,22
Built-up  Area,ISRO Layout,6,4400,6,3,250
Super built-up  Area,Kodanda Reddy Layout,3,1660,2,2,105
Built-up  Area,Hennur Road,4,2957,,,224.5
Super built-up  Area,Yelahanka,2,1326,2,2,78
Super built-up  Area,Garudachar Palya,3,1325,2,2,60.8
Super built-up  Area,EPIP Zone,3,1499,5,2,102
Built-up  Area,Hegde Nagar,6,3000,7,2,210
Super built-up  Area,Kanakpura Road,3,1665,3,2,88
Super built-up  Area,Dasanapura,2,708,2,2,37
Super built-up  Area,Kasavanhalli,2,1060,2,2,58.06
Plot  Area,Rajaji Nagar,6,710,6,3,160
Built-up  Area,Sanjay nagar,2,1000,2,2,70
Super built-up  Area,Electronic City,2,1000,2,1,28.88
Super built-up  Area, Mysore Highway,3,1450,2,2,70
Plot  Area,ISRO Layout,4,1200,4,2,155
Super built-up  Area,Thanisandra,2,1296,2,3,80
Super built-up  Area,Domlur,3,1540,3,2,90
Plot  Area,Kengeri,4,2894,4,1,245
Super built-up  Area,Sarjapura - Attibele Road,3,1330,2,1,48
Built-up  Area,Devasthanagalu,2,1200,2,1,65
Built-up  Area,T Dasarahalli,3,1200,3,1,90
Super built-up  Area,Yeshwanthpur,3,2502,3,3,138
Built-up  Area,Chandapura,2,650,1,1,17
Plot  Area,Kothanur,3,2400,2,1,150
Super built-up  Area,Green View Layout,2,1007,2,2,43
Super built-up  Area,Shantiniketan Layout,2,1200,2,2,50
Super built-up  Area,Peenya,2,966,2,2,49.9
Built-up  Area,Nagarbhavi,3,1630,2,1,98
Built-up  Area,Rajaji Nagar,3,1640,3,2,229
